epoch,accuracy,loss,lr,RAM,gpu_mem
16/20,63.16262,0.82164,0.0001,22.33/62.53G,8.68G
17/20,69.90117,0.63315,5e-05,33.38/62.53G,10.00G
18/20,70.86703,0.59496,2e-05,35.98/62.53G,10.00G
19/20,73.06828,0.562,1e-05,15.79/62.53G,8.68G
20/20,73.24798,0.56374,0.0,25.11/62.53G,8.68G
21/100,63.76909,0.67329,0.0009,16.94/62.53G,8.68G
22/100,74.55076,0.57811,0.00089,26.17/62.53G,8.68G
23/100,77.65049,0.54751,0.00088,25.90/62.53G,8.68G
24/100,79.87421,0.52023,0.00086,24.57/62.53G,8.68G
25/100,80.48068,0.54765,0.00085,24.52/62.53G,10.00G
26/100,82.09793,0.50613,0.00084,24.81/62.53G,10.00G
27/100,82.47978,0.49546,0.00083,24.70/62.53G,10.00G
28/100,83.87242,0.53197,0.00082,24.65/62.53G,10.00G
29/100,84.52381,0.53811,0.00081,25.11/62.53G,10.00G
30/100,83.82749,0.51198,0.00079,24.76/62.53G,10.00G
31/100,85.01797,0.51362,0.00078,24.95/62.53G,10.00G
32/100,85.42228,0.49293,0.00077,24.72/62.53G,10.00G
33/100,85.82659,0.50467,0.00075,24.89/62.53G,10.00G
34/100,86.27583,0.52065,0.00074,24.75/62.53G,10.00G
35/100,87.15184,0.48399,0.00073,15.39/62.53G,8.68G
36/100,88.29739,0.46144,0.00071,24.51/62.53G,10.00G
37/100,88.05031,0.4773,0.0007,24.38/62.53G,10.00G
38/100,88.45463,0.45215,0.00068,24.38/62.53G,10.00G
39/100,88.67925,0.45641,0.00067,25.47/62.53G,10.00G
40/100,89.75741,0.42646,0.00065,25.87/62.53G,10.00G
41/100,89.84726,0.39643,0.00064,25.93/62.53G,10.00G
42/100,90.45373,0.39303,0.00062,25.77/62.53G,10.00G
43/100,90.34142,0.39727,0.00061,24.85/62.53G,10.00G
44/100,90.36388,0.39885,0.00059,24.32/62.53G,10.00G
45/100,90.83558,0.39565,0.00058,24.67/62.53G,10.00G
46/100,91.50943,0.38035,0.00056,25.97/62.53G,10.00G
